DrugBank_ID,Protein_UID,Action,Gene_Name
DB00162,O43174,substrate,CYP26A1
DB00162,O43174,inducer,CYP26A1
DB00163,P09211,inhibitor,GSTP1
DB00163,P78417,inhibitor,GSTO1
DB00163,P21266,inducer,GSTM3
DB00163,P48506,inducer,GCLC
DB00163,P15559,inducer,NQO1
DB00163,P09601,inducer,HMOX1
DB00163,P00441,inducer,SOD1
DB00163,P08684,substrate,CYP3A4
DB00163,P08684,inducer,CYP3A4
DB00163,P09210,inducer,GSTA2
DB00165,P20711,cofactor,DDC
DB00165,O00764,ligand,PDXK
DB00165,P04798,inhibitor,CYP1A1
DB00165,O00764,substrate,PDXK
DB00165,Q96GD0,substrate,PDXP
DB00165,P05186,substrate,ALPL
DB00166,P16435,inhibitor,POR
DB00169,P11473,agonist,VDR
DB00169,Q6VVX0,substrate,CYP2R1
DB00169,Q02318,substrate,CYP27A1
DB00169,P51589,substrate,CYP2J2
DB00169,P08684,substrate,CYP3A4
DB00169,P05108,substrate,CYP11A1
DB00169,P04798,inhibitor,CYP1A1
DB00169,P10632,inhibitor,CYP2C8
DB00170,Q06278,inhibitor,AOX1
DB00170,P38435,cofactor,GGCX
DB00170,Q9BQB6,cofactor,VKORC1
DB00170,Q8N0U8,cofactor,VKORC1L1
DB00170,P00734,activator,F2
DB00170,P00740,activator,F9
DB00170,P04070,activator,PROC
DB00170,P07225,activator,PROS1
DB00170,P02818,agonist,BGLAP
DB00170,P05177,inhibitor,CYP1A2
DB00170,P05177,inducer,CYP1A2
DB00170,P11509,inhibitor,CYP2A6
DB00170,Q16678,inhibitor,CYP1B1
DB00170,P20813,inhibitor,CYP2B6
DB00170,P10632,inhibitor,CYP2C8
DB00170,P11712,inhibitor,CYP2C9
DB00170,P33261,inhibitor,CYP2C19
DB00170,P10635,inhibitor,CYP2D6
DB00170,P05181,inhibitor,CYP2E1
DB00170,P08684,inhibitor,CYP3A4
DB00170,P20815,inhibitor,CYP3A5
DB00170,P24462,inhibitor,CYP3A7
DB00170,P47989,substrate,XDH
DB00170,Q06278,inhibitor,AOX1
DB00170,P42898,substrate,MTHFR
DB00170,P04798,inhibitor,CYP1A1
DB00170,P04798,inducer,CYP1A1
DB00175,P04035,inhibitor,HMGCR
DB00175,Q92769,inhibitor,HDAC2
DB00176,P31645,inhibitor,SLC6A4
DB00176,P10635,substrate,CYP2D6
DB00176,P10635,inhibitor,CYP2D6
DB00176,P05177,substrate,CYP1A2
DB00176,P05177,inhibitor,CYP1A2
DB00176,P04798,inhibitor,CYP1A1
DB00176,P08684,substrate,CYP3A4
DB00176,P08684,inhibitor,CYP3A4
DB00176,P08684,inhibitor,CYP3A4
DB00176,P11712,inhibitor,CYP2C9
DB00176,P33261,inhibitor,CYP2C19
DB00176,P20813,inhibitor,CYP2B6
DB00177,P30556,antagonist,AGTR1
DB00177,P11712,substrate,CYP2C9
DB00178,P12821,inhibitor,ACE
DB00178,P06276,inhibitor,BCHE
DB00179,P09917,inhibitor,ALOX5
DB00179,P04626,modulator,ERBB2
DB00179,Q96QT4,inhibitor,TRPM7
DB00180,P04150,agonist,NR3C1
DB00180,P08684,substrate,CYP3A4
DB00180,P08684,inducer,CYP3A4
DB00181,O75899,agonist,GABBR2
DB00181,P61073,allosteric modulator,CXCR4
DB00181,Q9UBS5,agonist,GABBR1
DB00182,Q05940,inhibitor,SLC18A2
DB00182,Q01959,negative modulator,SLC6A3
DB00182,Q16568,agonist,CARTPT
DB00182,Q96RJ0,agonist,TAAR1
DB00182,P21397,inhibitor,MAOA
DB00182,P23975,agonist,SLC6A2
DB00182,P23975,substrate,SLC6A2
DB00182,P35348,agonist,ADRA1A
DB00182,P08588,agonist,ADRB1
DB00182,P14416,binder,DRD2
DB00182,P27338,inhibitor,MAOB
DB00182,P31645,binder,SLC6A4
DB00182,P11509,inhibitor,CYP2A6
DB00182,P10635,substrate,CYP2D6
DB00184,P43681,agonist,CHRNA4
DB00184,P36544,agonist,CHRNA7
DB00184,P17787,agonist,CHRNB2
DB00184,Q15822,agonist,CHRNA2
DB00184,P32297,agonist,CHRNA3
DB00184,P30532,agonist,CHRNA5
DB00184,Q15825,agonist,CHRNA6
DB00184,Q9UGM1,agonist,CHRNA9
DB00184,Q9GZZ6,agonist,CHRNA10
DB00184,Q05901,agonist,CHRNB3
DB00184,P30926,agonist,CHRNB4
DB00184,P11511,inhibitor,CYP19A1
DB00184,P28329,inhibitor,CHAT
DB00184,P04798,substrate,CYP1A1
DB00184,P04798,inducer,CYP1A1
DB00184,P05177,substrate,CYP1A2
DB00184,P05177,inducer,CYP1A2
DB00184,P33261,substrate,CYP2C19
DB00184,P10632,substrate,CYP2C8
DB00184,P11712,substrate,CYP2C9
DB00184,P10635,substrate,CYP2D6
DB00184,P08684,substrate,CYP3A4
DB00184,P21397,inhibitor,MAOA
DB00184,P27338,inhibitor,MAOB
DB00184,P11509,substrate,CYP2A6
DB00184,P11509,inhibitor,CYP2A6
DB00184,P05181,substrate,CYP2E1
DB00184,P05181,inhibitor,CYP2E1
DB00184,P05181,inducer,CYP2E1
DB00184,Q16696,substrate,CYP2A13
DB00184,P20813,substrate,CYP2B6
DB00185,P20309,agonist,CHRM3
DB00185,P11229,agonist,CHRM1
DB00185,P10635,substrate,CYP2D6
DB00185,P08684,substrate,CYP3A4
DB00185,Q01740,substrate,FMO1
DB00186,P30536,modulator,TSPO
DB00186,P14867,positive allosteric modulator,GABRA1
DB00186,P14867,ligand,GABRA1
DB00186,P54855,substrate,UGT2B15
DB00187,P08588,antagonist,ADRB1
DB00187,P10635,substrate,CYP2D6
DB00188,P28074,inhibitor,PSMB5
DB00188,P07477,inhibitor,PRSS1
DB00188,P20618,inhibitor,PSMB1
DB00188,P08684,substrate,CYP3A4
DB00188,P33261,substrate,CYP2C19
DB00188,P33261,inhibitor,CYP2C19
DB00188,P10635,substrate,CYP2D6
DB00188,P05177,substrate,CYP1A2
DB00188,P05177,inhibitor,CYP1A2
DB00188,P11712,substrate,CYP2C9
DB00188,P11712,inhibitor,CYP2C9
DB00189,P47870,antagonist,GABRB2
DB00189,P14867,antagonist,GABRA1
DB00189,P14867,positive allosteric modulator,GABRA1
DB00190,P20711,inhibitor,DDC
DB00191,P23975,inhibitor,SLC6A2
DB00191,P31645,inhibitor,SLC6A4
DB00191,Q01959,inhibitor,SLC6A3
DB00191,P21397,antagonist,MAOA
DB00191,P27338,antagonist,MAOB
DB00191,P01303,inhibitor,NPY
DB00191,P08684,substrate,CYP3A4
DB00193,P35372,agonist,OPRM1
DB00193,P23975,inhibitor,SLC6A2
DB00193,P31645,inhibitor,SLC6A4
DB00193,Q99250,inhibitor,SCN2A
DB00193,Q05586,inhibitor,GRIN1
DB00193,P30542,agonist,ADORA1
DB00193,P08913,inducer,ADRA2A
DB00193,P28335,antagonist,HTR2C
DB00193,P41145,agonist,OPRK1
DB00193,P41143,agonist,OPRD1
DB00193,P36544,antagonist,CHRNA7
DB00193,P20309,antagonist,CHRM3
DB00193,P11229,antagonist,CHRM1
DB00193,P25103,inhibitor,TACR1
DB00193,Q8NER1,agonist,TRPV1
DB00193,P20813,substrate,CYP2B6
DB00193,P22309,substrate,UGT1A1
DB00193,P10635,substrate,CYP2D6
DB00193,P08684,substrate,CYP3A4
DB00195,P08588,antagonist,ADRB1
DB00195,P07550,antagonist,ADRB2
DB00195,P10635,substrate,CYP2D6
DB00195,P05177,substrate,CYP1A2
DB00196,P10613,inhibitor,ERG11
DB00196,P20815,inhibitor,CYP3A5
DB00196,P08684,inhibitor,CYP3A4
DB00196,P11712,inhibitor,CYP2C9
DB00196,P33261,inhibitor,CYP2C19
DB00198,P11485,inhibitor,NA
DB00198,Q99519,inhibitor,NEU1
DB00198,Q9Y3R4,inhibitor,NEU2
DB00198,P23141,substrate,CES1
DB00199,O43193,agonist,MLNR
DB00199,Q12809,inhibitor,KCNH2
DB00199,P20815,substrate,CYP3A5
DB00199,P20815,inhibitor,CYP3A5
DB00199,P08684,substrate,CYP3A4
DB00199,P08684,inhibitor,CYP3A4
DB00199,P24462,substrate,CYP3A7
DB00199,P24462,inhibitor,CYP3A7
DB00201,P30542,antagonist,ADORA1
DB00201,P21589,inhibitor,NT5E
DB00201,P29274,antagonist,ADORA2A
DB00201,P29275,antagonist,ADORA2B
DB00201,P0DMS8,antagonist,ADORA3
DB00201,Q08499,inhibitor,PDE4D
DB00201,Q07343,inhibitor,PDE4B
DB00201,P27815,inhibitor,PDE4A
DB00201,P78527,inhibitor,PRKDC
DB00201,O00329,inhibitor,PIK3CD
DB00201,P42336,inhibitor,PIK3CA
DB00201,P42338,inhibitor,PIK3CB
DB00201,Q14643,inhibitor,ITPR1
DB00201,Q13315,inhibitor,ATM
DB00201,P05177,substrate,CYP1A2
DB00201,P05177,inhibitor,CYP1A2
DB00201,P08684,substrate,CYP3A4
DB00201,P05181,substrate,CYP2E1
DB00201,P10632,substrate,CYP2C8
DB00201,P11712,substrate,CYP2C9
DB00201,P04798,inhibitor,CYP1A1
DB00201,Q16678,substrate,CYP1B1
DB00201,P10635,substrate,CYP2D6
DB00202,Q9GZZ6,agonist,CHRNA10
DB00202,P08172,agonist,CHRM2
DB00202,P20309,agonist,CHRM3
DB00202,P06276,substrate,BCHE
DB00203,P05155,modulator,SERPING1
DB00203,O76074,inhibitor,PDE5A
DB00203,P18545,inhibitor,PDE6G
DB00203,Q13956,inhibitor,PDE6H
DB00203,P11926,downregulator,ODC1
DB00203,Q9NZQ7,downregulator,CD274
DB00203,P08684,substrate,CYP3A4
DB00203,P20815,substrate,CYP3A5
DB00203,P24462,substrate,CYP3A7
DB00203,P11712,substrate,CYP2C9
DB00203,P11712,inhibitor,CYP2C9
DB00203,P33261,substrate,CYP2C19
DB00203,P33261,inhibitor,CYP2C19
DB00203,P10635,substrate,CYP2D6
DB00203,P05181,substrate,CYP2E1
DB00203,P05181,inhibitor,CYP2E1
DB00204,Q12809,inhibitor,KCNH2
DB00204,O95069,inhibitor,KCNK2
DB00204,Q14500,inhibitor,KCNJ12
DB00204,P08684,substrate,CYP3A4
DB00205,P00374,inhibitor,DHFR
DB00205,P15328,modulator,FOLR1
DB00205,P13922,inhibitor,
DB00205,P10632,inhibitor,CYP2C8
DB00206,Q05940,inhibitor,SLC18A2
DB00206,P54219,inhibitor,SLC18A1
DB00206,P20815,inducer,CYP3A5
DB00207,Q9UM07,inhibitor,PADI4
DB00207,P08684,substrate,CYP3A4
DB00207,P08684,inhibitor,CYP3A4
DB00208,P25105,modulator,PTAFR
DB00208,Q9H244,antagonist,P2RY12
DB00208,P33261,substrate,CYP2C19
DB00208,P33261,inhibitor,CYP2C19
DB00208,P10635,substrate,CYP2D6
DB00208,P10635,inhibitor,CYP2D6
DB00208,P05164,substrate,MPO
DB00208,P11712,inhibitor,CYP2C9
DB00208,P10632,inhibitor,CYP2C8
DB00208,P05177,inhibitor,CYP1A2
DB00208,P20813,inhibitor,CYP2B6
DB00208,P05181,inhibitor,CYP2E1
DB00209,P08912,antagonist,CHRM5
DB00209,P11229,antagonist,CHRM1
DB00209,P10635,inhibitor,CYP2D6
DB00210,P10826,agonist,RARB
DB00210,P13631,agonist,RARG
DB00210,P28702,agonist,RXRB
DB00210,P48443,agonist,RXRG
DB00210,P19793,agonist,RXRA
DB00210,P05412,antagonist,JUN
DB00210,O60603,antagonist,TLR2
DB00210,P17174,inhibitor,GOT1
DB00211,P35348,agonist,ADRA1A
DB00211,P35368,agonist,ADRA1B
DB00211,P25100,agonist,ADRA1D
DB00211,P10635,substrate,CYP2D6
DB00212,P00797,inhibitor,REN
DB00213,P20648,inhibitor,ATP4A
DB00213,P51164,modulator,ATP4B
DB00213,O94760,inhibitor,DDAH1
DB00213,P33261,substrate,CYP2C19
DB00213,P33261,inhibitor,CYP2C19
DB00213,P08684,substrate,CYP3A4
DB00214,P55011,inhibitor,SLC12A2
DB00214,Q13621,inhibitor,SLC12A1
DB00214,P10632,substrate,CYP2C8
DB00214,P11712,substrate,CYP2C9
DB00214,P11712,inhibitor,CYP2C9
DB00215,P31645,inhibitor,SLC6A4
DB00215,P35367,binder,HRH1
DB00215,P08684,substrate,CYP3A4
DB00215,P08684,inhibitor,CYP3A4
DB00215,P33261,substrate,CYP2C19
DB00215,P33261,inhibitor,CYP2C19
DB00215,P10635,substrate,CYP2D6
DB00215,P10635,inhibitor,CYP2D6
DB00215,P05177,inhibitor,CYP1A2
DB00215,P21397,substrate,MAOA
DB00215,P27338,substrate,MAOB
DB00215,Q06278,substrate,AOX1
DB00216,P28221,agonist,HTR1D
DB00216,P28222,agonist,HTR1B
DB00216,P30939,agonist,HTR1F
DB00216,P08908,agonist,HTR1A
DB00216,P10635,substrate,CYP2D6
DB00216,P11712,substrate,CYP2C9
DB00216,P33261,substrate,CYP2C19
DB00216,P11509,inducer,CYP2A6
DB00216,P23219,substrate,PTGS1
DB00216,P08684,substrate,CYP3A4
DB00217,P08588,antagonist,ADRB1
DB00217,P48048,inhibitor,KCNJ1
DB00217,P08913,agonist,ADRA2A
DB00217,P08588,antagonist,ADRB1
DB00218,P20831,modulator,gyrA
DB00218,P0A0K8,modulator,gyrB
DB00218,P43700,inhibitor,gyrA
DB00218,P43702,inhibitor,parC
DB00218,P11388,inhibitor,TOP2A
DB00218,P27169,inhibitor,PON1
DB00218,P05177,inhibitor,CYP1A2
DB00219,P11229,antagonist,CHRM1
DB00220,O90777,inhibitor,HIV-1 protease
DB00220,P08684,substrate,CYP3A4
DB00220,P08684,inhibitor,CYP3A4
DB00220,P24462,inhibitor,CYP3A7
DB00220,P20815,substrate,CYP3A5
DB00220,P20815,inhibitor,CYP3A5
DB00220,P20813,inhibitor,CYP2B6
DB00220,P33261,substrate,CYP2C19
DB00220,P33261,inducer,CYP2C19
DB00220,P22309,inducer,UGT1A1
DB00220,P11712,inducer,CYP2C9
DB00220,P10635,inhibitor,CYP2D6
DB00221,P08588,agonist,ADRB1
DB00221,P07550,agonist,ADRB2
DB00222,O60706,blocker,ABCC9
DB00222,Q14654,inhibitor,KCNJ11
DB00222,P48048,inhibitor,KCNJ1
DB00222,Q09428,inducer,ABCC8
DB00222,P11712,substrate,CYP2C9
DB00223,P04054,inhibitor,PLA2G1B
DB00223,P04150,agonist,NR3C1
DB00224,P03366,inhibitor,gag-pol
DB00224,Q72874,inhibitor,pol
DB00224,P10635,inhibitor,CYP2D6
DB00224,P22309,inhibitor,UGT1A1
DB00224,P08684,substrate,CYP3A4
DB00224,P08684,inhibitor,CYP3A4
DB00224,P20815,substrate,CYP3A5
DB00224,P20815,inhibitor,CYP3A5
DB00224,P24462,inhibitor,CYP3A7
DB00226,P23975,partial agonist,SLC6A2
DB00227,P04035,inhibitor,HMGCR
DB00227,P20701,inhibitor,ITGAL
DB00227,Q92769,inhibitor,HDAC2
DB00227,P08684,substrate,CYP3A4
DB00227,Q15166,substrate,PON3
DB00227,P10632,substrate,CYP2C8
DB00227,P22309,substrate,UGT1A1
DB00227,P35503,substrate,UGT1A3
DB00227,P16662,substrate,UGT2B7
DB00227,P33261,substrate,CYP2C19
DB00228,P14867,potentiator,GABRA1
DB00228,Q06432,inhibitor,CACNG1
DB00228,Q06432,activator,CACNG1
DB00228,P23415,potentiator,GLRA1
DB00228,Q9NSA2,inhibitor,KCND1
DB00228,Q9NSA2,activator,KCND1
DB00228,P98194,inhibitor,ATP2C1
DB00228,Q05586,antagonist,GRIN1
DB00228,O14983,inhibitor,ATP2A1
DB00228,O14983,stimulator,ATP2A1
DB00228,P05181,substrate,CYP2E1
DB00229,P0AD68,binder,ftsI
DB00229,Q8XJ01,inducer,pbpA
DB00230,P54289,modulator,CACNA2D1
DB00231,P30536,modulator,TSPO
DB00231,P14867,positive allosteric modulator,GABRA1
DB00231,P14867,ligand,GABRA1
DB00231,P08684,substrate,CYP3A4
DB00231,P20813,substrate,CYP2B6
DB00231,P11712,substrate,CYP2C9
DB00232,Q13621,inhibitor,SLC12A1
DB00232,P00915,inhibitor,CA1
DB00232,P00918,inhibitor,CA2
DB00232,P22748,inhibitor,CA4
DB00233,P23219,modulator,PTGS1
DB00233,P00374,modulator,DHFR
DB00233,P35354,inhibitor,PTGS2
DB00233,O15111,inhibitor,CHUK
DB00233,P09917,inhibitor,ALOX5
DB00233,P05164,inhibitor,MPO
DB00234,P23975,inhibitor,SLC6A2
DB00234,P08684,substrate,CYP3A4
DB00234,P08684,inhibitor,CYP3A4
DB00234,P10635,inhibitor,CYP2D6
DB00235,Q14432,inhibitor,PDE3A
DB00237,P14867,positive allosteric modulator,GABRA1
DB00237,P14867,antagonist,GABRA1
DB00237,Q9GZZ6,inhibitor,CHRNA10
DB00237,P42261,antagonist,GRIA1
DB00237,P42262,antagonist,GRIA2
DB00237,P42263,antagonist,GRIA3
DB00237,P48058,antagonist,GRIA4
DB00237,P39086,antagonist,GRIK1
DB00237,Q13002,antagonist,GRIK2
DB00237,Q13003,antagonist,GRIK3
DB00237,Q16099,antagonist,GRIK4
DB00237,Q16478,antagonist,GRIK5
DB00238,P03366,modulator,gag-pol
DB00238,Q72547,inhibitor,pol
DB00238,P10635,substrate,CYP2D6
DB00238,P10635,inhibitor,CYP2D6
DB00238,P05177,inhibitor,CYP1A2
DB00238,P24462,substrate,CYP3A7
DB00238,P08684,substrate,CYP3A4
DB00238,P08684,inducer,CYP3A4
DB00238,P20813,substrate,CYP2B6
DB00238,P20813,inducer,CYP2B6
DB00238,P20815,substrate,CYP3A5
DB00238,P11712,inducer,CYP2C9
DB00238,P11509,substrate,CYP2A6
DB00239,P10613,inhibitor,ERG11
DB00239,Q04782,inhibitor,ERG7
DB00239,O75469,partial agonist,NR1I2
DB00239,P08684,inducer,CYP3A4
DB00239,P33261,substrate,CYP2C19
DB00240,P08185,binder,SERPINA6
DB00240,P04150,agonist,NR3C1
DB00240,P08684,substrate,CYP3A4
DB00241,P47869,potentiator,GABRA2
DB00241,P34903,potentiator,GABRA3
DB00241,P48169,potentiator,GABRA4
DB00241,P31644,potentiator,GABRA5
DB00241,Q16445,potentiator,GABRA6
DB00241,P14867,positive allosteric modulator,GABRA1
DB00241,P14867,potentiator,GABRA1
DB00241,P43681,antagonist,CHRNA4
DB00241,P36544,antagonist,CHRNA7
DB00241,P42262,antagonist,GRIA2
DB00241,Q13002,antagonist,GRIK2
DB00242,P23921,inhibitor,RRM1
DB00242,P00813,inhibitor,ADA
DB00242,P31350,inhibitor,RRM2
DB00242,Q7LG56,inhibitor,RRM2B
DB00242,P09884,inhibitor,POLA1
DB00242,Q07864,inhibitor,POLE
DB00242,P56282,inhibitor,POLE2
DB00242,Q9NRF9,inhibitor,POLE3
DB00242,Q9NR33,inhibitor,POLE4
DB00242,P00491,inducer,PNP
DB00242,P09874,inducer,PARP1
DB00242,P27707,substrate,DCK
DB00242,Q16854,substrate,DGUOK
DB00243,P00747,modulator,PLG
DB00243,P35498,inhibitor,SCN1A
DB00243,Q14500,inhibitor,KCNJ12
DB00243,Q13936,inhibitor,CACNA1C
DB00243,P35348,antagonist,ADRA1A
DB00243,P08588,antagonist,ADRB1
DB00243,P08684,substrate,CYP3A4
DB00243,P08684,inhibitor,CYP3A4
DB00243,P10635,substrate,CYP2D6
DB00243,P10635,inhibitor,CYP2D6
DB00244,P35354,inhibitor,PTGS2
DB00244,P23219,inhibitor,PTGS1
DB00244,P09917,inhibitor,ALOX5
DB00244,P37231,agonist,PPARG
DB00244,O15111,inhibitor,CHUK
DB00244,O14920,inhibitor,IKBKB
DB00244,P35228,inhibitor,NOS2
DB00244,P18440,substrate,NAT1
DB00245,P11229,antagonist,CHRM1
DB00245,Q01959,inhibitor,SLC6A3
DB00245,P35367,antagonist,HRH1
DB00245,P31645,inhibitor,SLC6A4
DB00245,P23975,inhibitor,SLC6A2
DB00246,P14416,antagonist,DRD2
DB00246,P36544,binder,CHRNA7
DB00246,P28223,antagonist,HTR2A
DB00246,P08908,agonist,HTR1A
DB00246,P28221,antagonist,HTR1D
DB00246,P28335,antagonist,HTR2C
DB00246,P21728,antagonist,DRD1
DB00246,P21918,antagonist,DRD5
DB00246,P35462,antagonist,DRD3
DB00246,P21917,antagonist,DRD4
DB00246,P28222,antagonist,HTR1B
DB00246,P28566,antagonist,HTR1E
DB00246,P50406,antagonist,HTR6
DB00246,P34969,antagonist,HTR7
DB00246,P35367,antagonist,HRH1
