drug_A,drug_B,DDI
DB08897,DB01199,1
DB09076,DB01409,1
DB00391,DB00657,1
DB09076,DB00979,1
DB00809,DB06148,1
DB00391,DB00810,1
DB08897,DB01116,1
DB00391,DB12278,1
DB09076,DB01116,1
DB09076,DB00732,1
DB00391,DB00809,1
DB01071,DB01626,1
DB00283,DB01367,1
DB00245,DB06148,1
DB09076,DB00340,1
DB01409,DB01173,1
DB09076,DB12278,1
DB06153,DB01247,1
DB09300,DB06148,1
DB01071,DB01037,1
DB08897,DB00908,1
DB06153,DB01367,1
DB00434,DB09241,1
DB08897,DB00376,1
DB00804,DB06148,1
DB06153,DB09244,1
DB08897,DB00657,1
DB01409,DB01199,1
DB00391,DB01409,1
DB00391,DB00245,1
DB08897,DB00809,1
DB06153,DB01037,1
DB01071,DB01247,1
DB09076,DB01337,1
DB09076,DB00804,1
DB09076,DB01338,1
DB09076,DB00967,1
DB09076,DB06148,1
DB00366,DB01626,1
DB00283,DB00182,1
DB01071,DB01367,1
DB00434,DB09244,1
DB00732,DB06148,1
DB00392,DB06148,1
DB06153,DB00780,1
DB08897,DB00979,1
DB01071,DB00182,1
DB01071,DB09241,1
DB01409,DB01062,1
DB00391,DB00340,1
DB00810,DB06148,1
DB00391,DB00804,1
DB01409,DB00424,1
DB00747,DB06148,1
DB00979,DB06148,1
DB00283,DB01626,1
DB08897,DB00810,1
DB01409,DB09300,1
DB00434,DB00780,1
DB00391,DB00747,1
DB00391,DB00572,1
DB06153,DB01626,1
DB00366,DB00805,1
DB09076,DB00810,1
DB00391,DB11315,1
DB01071,DB00752,1
DB08897,DB00804,1
DB00434,DB01626,1
DB00366,DB00780,1
DB09076,DB00245,1
DB00209,DB06148,1
DB01199,DB06148,1
DB00283,DB00780,1
DB00391,DB09300,1
DB09076,DB01173,1
DB00283,DB00752,1
DB00572,DB06148,1
DB00391,DB00387,1
DB01409,DB00747,1
DB00391,DB00376,1
DB08897,DB00245,1
DB01409,DB01116,1
DB08897,DB01173,1
DB00908,DB06148,1
DB00391,DB08897,1
DB01409,DB00340,1
DB00391,DB00979,1
DB01062,DB06148,1
DB09076,DB00517,1
DB08897,DB00967,1
DB08897,DB01062,1
DB01409,DB00245,1
DB09076,DB00392,1
DB01409,DB00804,1
DB01409,DB00979,1
DB01409,DB00517,1
DB08897,DB01337,1
DB01409,DB00809,1
DB01409,DB12278,1
DB09076,DB00747,1
DB09076,DB01062,1
DB06153,DB00805,1
DB00283,DB01037,1
DB01409,DB00732,1
DB08897,DB00392,1
DB00967,DB06148,1
DB01409,DB01338,1
DB01409,DB01339,1
DB00391,DB01062,1
DB01409,DB01337,1
DB06153,DB09241,1
DB00283,DB09241,1
DB08897,DB00572,1
DB01370,DB00588,2
DB09104,DB00860,2
DB06724,DB01130,2
DB06723,DB00588,2
DB13595,DB00635,2
DB09281,DB08970,2
DB09281,DB01047,2
DB01377,DB11921,2
DB06723,DB00959,2
DB01390,DB00764,2
DB01377,DB04574,2
DB01370,DB09095,2
DB01370,DB09091,2
DB09104,DB00443,2
DB13595,DB00596,2
DB06724,DB00663,2
DB13595,DB00591,2
DB01390,DB08905,2
DB09281,DB00240,2
DB06724,DB00547,2
DB01390,DB08906,2
DB06724,DB01047,2
DB13595,DB00741,2
DB01377,DB02187,2
DB06723,DB00253,2
DB09281,DB01410,2
DB13595,DB00896,2
DB09104,DB09095,2
DB09104,DB09091,2
DB06724,DB00896,2
DB08938,DB00764,2
DB09104,DB00591,2
DB09104,DB00596,2
DB13595,DB00443,2
DB08938,DB00620,2
DB06724,DB01260,2
DB06724,DB13158,2
DB13595,DB06786,2
DB06723,DB11921,2
DB06723,DB00223,2
DB06723,DB00655,2
DB09104,DB00180,2
DB01370,DB01130,2
DB01390,DB00860,2
DB06723,DB01708,2
DB01377,DB00588,2
DB09104,DB00620,2
DB06724,DB08905,2
DB09104,DB00741,2
DB01377,DB00180,2
DB01370,DB00547,2
DB09104,DB08905,2
DB09104,DB08906,2
DB01370,DB00896,2
DB01377,DB00635,2
DB06724,DB00443,2
DB08938,DB00860,2
DB06724,DB11921,2
DB06724,DB04574,2
DB08938,DB00547,2
DB01377,DB01234,2
DB08938,DB08906,2
DB08938,DB08905,2
DB01370,DB01260,2
DB13595,DB01130,2
DB08938,DB01047,2
DB09281,DB01130,2
DB13595,DB00663,2
DB01370,DB00223,2
DB09281,DB06786,2
DB06723,DB00860,2
DB01377,DB09091,2
DB01390,DB00635,2
DB01390,DB00223,2
DB06723,DB13158,2
DB01390,DB00180,2
DB09281,DB09091,2
DB09281,DB09095,2
DB06724,DB00591,2
DB06724,DB00596,2
DB09104,DB01380,2
DB09104,DB01384,2
DB01377,DB06786,2
DB09281,DB01260,2
DB08938,DB00896,2
DB06723,DB00591,2
DB01377,DB00547,2
DB06723,DB00596,2
DB09281,DB00588,2
DB01370,DB11921,2
DB13595,DB00846,2
DB09104,DB00253,2
DB13595,DB00240,2
DB08938,DB04574,2
DB08938,DB06786,2
DB01390,DB11921,2
DB01377,DB08970,2
DB06724,DB01234,2
DB01370,DB01047,2
DB08938,DB00588,2
DB01370,DB00860,2
DB06723,DB00663,2
DB09104,DB00959,2
DB09104,DB00896,2
DB01370,DB00591,2
DB01370,DB00596,2
DB09104,DB00655,2
DB01377,DB01708,2
DB13595,DB00620,2
DB01390,DB01047,2
DB01390,DB01130,2
DB01377,DB08905,2
DB01377,DB08906,2
DB08938,DB01380,2
DB06723,DB00764,2
DB08938,DB01384,2
DB01377,DB01260,2
DB09281,DB01708,2
DB06724,DB00655,2
DB08938,DB02187,2
DB01370,DB13158,2
DB09281,DB00253,2
DB01390,DB02187,2
DB09281,DB01380,2
DB06723,DB00896,2
DB09281,DB01384,2
DB13595,DB00838,2
DB01390,DB01380,2
DB01390,DB01384,2
DB09281,DB00959,2
DB01390,DB00253,2
DB08938,DB01013,2
DB09281,DB00223,2
DB09104,DB00588,2
DB09281,DB00655,2
DB09281,DB13158,2
DB08938,DB00635,2
DB01390,DB00959,2
DB06723,DB00547,2
DB01377,DB01047,2
DB06723,DB00620,2
DB06724,DB00838,2
DB09104,DB00635,2
DB09104,DB00223,2
DB01377,DB01013,2
DB08938,DB00443,2
DB06723,DB00635,2
DB01377,DB00846,2
DB09104,DB01234,2
DB13595,DB00959,2
DB09104,DB00838,2
DB01370,DB00959,2
DB01370,DB01013,2
DB06723,DB02187,2
DB09104,DB02187,2
DB06724,DB01013,2
DB01377,DB00655,2
DB08938,DB01234,2
DB13595,DB00655,2
DB01370,DB00253,2
DB09281,DB00663,2
DB01390,DB00741,2
DB06724,DB00764,2
DB01390,DB00620,2
DB01390,DB00588,2
DB06723,DB04574,2
DB09281,DB00180,2
DB09104,DB00547,2
DB06724,DB01708,2
DB09104,DB01013,2
DB13595,DB00223,2
DB09281,DB00860,2
DB01390,DB00443,2
DB01377,DB00240,2
DB08938,DB00741,2
DB09281,DB11921,2
DB08938,DB00180,2
DB01390,DB01260,2
DB13595,DB08970,2
DB01390,DB13158,2
DB13595,DB01260,2
DB13595,DB01013,2
DB08938,DB00838,2
DB13595,DB11921,2
DB06724,DB00588,2
DB06723,DB06786,2
DB06724,DB01410,2
DB01390,DB00846,2
DB08938,DB00240,2
DB13595,DB08905,2
DB06724,DB00860,2
DB09104,DB00764,2
DB09281,DB00764,2
DB01377,DB00860,2
DB09104,DB01260,2
DB09104,DB00846,2
DB01390,DB00591,2
DB08938,DB00846,2
DB09104,DB08970,2
DB06724,DB09091,2
DB06724,DB00180,2
DB01370,DB02187,2
DB01390,DB00663,2
DB06723,DB01013,2
DB01390,DB00547,2
DB06723,DB01380,2
DB06724,DB00240,2
DB06723,DB01384,2
DB08938,DB11921,2
DB08938,DB01260,2
DB13595,DB00764,2
DB01390,DB01410,2
DB01370,DB01234,2
DB01390,DB01234,2
DB06723,DB00846,2
DB01390,DB00896,2
DB01390,DB00240,2
DB09281,DB02187,2
DB13595,DB00547,2
DB09104,DB01047,2
DB06723,DB00838,2
DB09281,DB00547,2
DB08938,DB01410,2
DB09281,DB00620,2
DB13595,DB01384,2
DB13595,DB01380,2
DB09281,DB04574,2
DB01377,DB01130,2
DB09281,DB00896,2
DB06723,DB08906,2
DB13595,DB01708,2
DB08938,DB01130,2
DB08938,DB00959,2
DB09104,DB06786,2
DB06723,DB01234,2
DB01390,DB09091,2
DB01390,DB09095,2
DB09104,DB13158,2
DB06723,DB00443,2
DB01370,DB01380,2
DB01390,DB04574,2
DB01370,DB01384,2
DB13595,DB09095,2
DB13595,DB09091,2
DB01390,DB01708,2
DB01370,DB01410,2
DB13595,DB02187,2
DB09104,DB04574,2
DB01370,DB00663,2
DB06724,DB08906,2
DB01370,DB00635,2
DB01377,DB00663,2
DB09104,DB01708,2
DB01370,DB01708,2
DB06723,DB09091,2
DB01370,DB00240,2
DB09104,DB00240,2
DB01370,DB00180,2
DB06723,DB00741,2
DB06723,DB00180,2
DB06723,DB01047,2
DB01390,DB00596,2
DB06724,DB09095,2
DB13595,DB00588,2
DB06724,DB06786,2
DB09104,DB01410,2
DB06724,DB02187,2
DB01370,DB08906,2
DB01370,DB08905,2
DB01370,DB00741,2
DB01377,DB00443,2
DB06723,DB00240,2
DB01377,DB01380,2
DB13595,DB00860,2
DB01377,DB00253,2
DB13595,DB00180,2
DB01377,DB00764,2
DB01370,DB06786,2
DB08938,DB00655,2
DB08938,DB01708,2
DB01390,DB01013,2
DB08938,DB08970,2
DB01377,DB00959,2
DB06724,DB00959,2
DB01377,DB00896,2
DB01377,DB00596,2
DB06723,DB09095,2
DB06723,DB08905,2
DB08938,DB00253,2
DB01390,DB06786,2
DB01370,DB04574,2
DB09104,DB11921,2
DB06724,DB00635,2
DB13595,DB13158,2
DB06723,DB01260,2
DB01377,DB00620,2
DB01377,DB00741,2
DB09281,DB01013,2
DB06723,DB08970,2
DB08938,DB00223,2
DB01370,DB00443,2
DB01370,DB00838,2
DB01390,DB00655,2
DB09281,DB01234,2
DB01370,DB00655,2
DB06723,DB01410,2
DB01390,DB08970,2
DB01377,DB13158,2
DB01370,DB00620,2
DB13595,DB04574,2
DB09281,DB00838,2
DB06724,DB00741,2
DB06723,DB01130,2
DB01370,DB08970,2
DB06724,DB00620,2
DB13595,DB01410,2
DB09104,DB01130,2
DB13595,DB08906,2
DB09281,DB00635,2
DB09281,DB00741,2
DB01377,DB09095,2
DB13595,DB01234,2
DB09281,DB00846,2
DB01390,DB00838,2
DB09281,DB00591,2
DB09281,DB00596,2
DB01377,DB00223,2
DB06724,DB08970,2
DB01370,DB00764,2
DB01377,DB01384,2
DB09281,DB00443,2
DB08938,DB13158,2
DB13595,DB00253,2
DB08938,DB09091,2
DB13595,DB01047,2
DB08938,DB09095,2
DB01377,DB01410,2
DB01377,DB00838,2
DB08938,DB00663,2
DB01377,DB00591,2
DB06724,DB00223,2
DB01370,DB00846,2
DB09281,DB08906,2
DB09104,DB00663,2
DB09281,DB08905,2
DB06724,DB01380,2
DB06724,DB01384,2
DB06724,DB00253,2
DB08938,DB00591,2
DB08938,DB00596,2
DB06724,DB00846,2
DB00615,DB01435,3
DB00252,DB00199,3
DB00615,DB00869,3
DB01045,DB06736,3
DB00615,DB00865,3
DB01320,DB06770,3
DB01320,DB06772,3
DB01320,DB06777,3
DB00615,DB00862,3
DB00564,DB08906,3
DB01320,DB01621,3
DB01045,DB06403,3
DB00312,DB00755,3
DB01045,DB08439,3
DB01201,DB11614,3
DB01201,DB00997,3
DB01201,DB00991,3
DB00312,DB06770,3
DB00238,DB00153,3
DB01320,DB00808,3
DB00564,DB00655,3
DB01045,DB01551,3
DB00564,DB00656,3
DB00312,DB09236,3
DB00312,DB00448,3
DB00312,DB00199,3
DB00312,DB06772,3
DB01045,DB01558,3
DB00564,DB06772,3
DB01045,DB08828,3
DB00607,DB01244,3
DB00238,DB08918,3
DB00312,DB04946,3
DB01351,DB00091,3
DB00312,DB01062,3
DB00252,DB00759,3
DB01045,DB01708,3
DB00564,DB01177,3
DB01045,DB08910,3
DB01201,DB09297,3
DB00312,DB11613,3
DB01201,DB01002,3
DB00252,DB00481,3
DB01201,DB01006,3
DB00238,DB01006,3
DB01351,DB00540,3
DB00252,DB00567,3
DB01351,DB00543,3
DB00564,DB00842,3
DB01045,DB01392,3
DB01045,DB01396,3
DB00252,DB08893,3
DB00252,DB00177,3
DB00474,DB09289,3
DB00312,DB00531,3
DB01045,DB01173,3
DB00564,DB00502,3
DB00607,DB09090,3
DB01201,DB01708,3
DB00238,DB01200,3
DB01320,DB00987,3
DB01320,DB00980,3
DB01201,DB01131,3
DB01201,DB01132,3
DB01320,DB00983,3
DB00238,DB00332,3
DB01201,DB01138,3
DB00312,DB00906,3
DB00252,DB06145,3
DB00252,DB06144,3
DB00564,DB01431,3
DB00564,DB01435,3
DB00312,DB00224,3
DB00312,DB00227,3
DB00312,DB00997,3
DB00312,DB00220,3
DB00564,DB00433,3
DB00564,DB01218,3
DB00312,DB09227,3
DB01201,DB00199,3
DB00564,DB01215,3
DB01201,DB00356,3
DB00564,DB00346,3
DB00564,DB00344,3
DB00238,DB01114,3
DB00564,DB00349,3
DB00238,DB01110,3
DB01201,DB00359,3
DB01201,DB00358,3
DB01320,DB01002,3
DB00238,DB00425,3
DB01320,DB01006,3
DB00238,DB00420,3
DB01201,DB01227,3
DB00238,DB05351,3
DB00252,DB00757,3
DB00165,DB01351,3
DB00252,DB00796,3
DB00564,DB00361,3
DB01201,DB09026,3
DB00615,DB01095,3
DB00238,DB01431,3
DB09280,DB00240,3
DB00238,DB01069,3
DB01045,DB01129,3
DB00615,DB01129,3
DB01045,DB06145,3
DB00238,DB00184,3
DB00165,DB00599,3
DB01320,DB01179,3
DB01045,DB04930,3
DB01320,DB01177,3
DB01320,DB01175,3
DB00615,DB09396,3
DB00238,DB01067,3
DB00238,DB01192,3
DB00252,DB00665,3
DB00312,DB06144,3
DB00312,DB06145,3
DB01045,DB00332,3
DB01045,DB00337,3
DB00312,DB00440,3
DB01045,DB00628,3
DB00238,DB09262,3
DB00312,DB09101,3
DB09280,DB08868,3
DB00615,DB00617,3
DB00238,DB01062,3
DB00615,DB00612,3
DB00238,DB00637,3
DB00238,DB00636,3
DB00564,DB00753,3
DB01201,DB01319,3
DB01201,DB00177,3
DB01201,DB00175,3
DB00615,DB01128,3
DB00400,DB00783,3
DB01320,DB00751,3
DB00615,DB01236,3
DB01320,DB00753,3
DB01320,DB00755,3
DB00252,DB00925,3
DB01320,DB00757,3
DB01320,DB11828,3
DB01320,DB00759,3
DB01320,DB01248,3
DB00252,DB00924,3
DB01045,DB00759,3
DB00615,DB01587,3
DB00252,DB00575,3
DB00252,DB00337,3
DB00615,DB00184,3
DB00615,DB00185,3
DB00252,DB00332,3
DB00615,DB00180,3
DB01045,DB00248,3
DB01045,DB00245,3
DB01045,DB00936,3
DB01045,DB00240,3
DB01201,DB00612,3
DB01201,DB00613,3
DB01201,DB00617,3
DB01201,DB00615,3
DB01201,DB11737,3
DB01201,DB01589,3
DB09280,DB01215,3
DB09280,DB01216,3
DB00615,DB00502,3
DB01201,DB01587,3
DB00252,DB00471,3
DB00252,DB00248,3
DB01320,DB00784,3
DB00615,DB01054,3
DB00312,DB01253,3
DB00252,DB00240,3
DB00615,DB00294,3
DB00252,DB00245,3
DB01320,DB00243,3
DB01320,DB00240,3
DB01320,DB00245,3
DB01351,DB09090,3
DB01320,DB00248,3
DB09280,DB00889,3
DB01045,DB00808,3
DB00312,DB01074,3
DB01320,DB05351,3
DB01201,DB00502,3
DB00564,DB06016,3
DB01201,DB01223,3
DB00238,DB04572,3
DB00615,DB00477,3
DB00615,DB00474,3
DB00615,DB00475,3
DB00615,DB00472,3
DB00615,DB00471,3
DB01201,DB06148,3
DB01320,DB00402,3
DB00564,DB12161,3
DB00615,DB04572,3
DB00615,DB04574,3
DB00238,DB12267,3
DB00615,DB00877,3
DB00607,DB00653,3
DB00312,DB01105,3
DB00312,DB01100,3
DB00312,DB00169,3
DB01201,DB00988,3
DB01201,DB00983,3
DB01201,DB00980,3
DB01201,DB00987,3
DB00615,DB00980,3
DB00312,DB00180,3
DB00564,DB01087,3
DB00599,DB00568,3
DB00312,DB00184,3
DB00312,DB00185,3
DB09280,DB00808,3
DB00564,DB06742,3
DB09280,DB00802,3
DB00564,DB00812,3
DB00252,DB00477,3
DB00615,DB06595,3
DB01045,DB06292,3
DB00615,DB11737,3
DB01045,DB08918,3
DB01045,DB01410,3
DB01045,DB00969,3
DB01045,DB01418,3
DB01201,DB01037,3
DB00252,DB00701,3
DB00564,DB01105,3
DB00615,DB01126,3
DB01320,DB06016,3
DB00252,DB00889,3
DB00252,DB12161,3
DB01201,DB04841,3
DB00607,DB06712,3
DB09280,DB13179,3
DB01220,DB00474,3
DB00312,DB00458,3
DB01320,DB09297,3
DB00312,DB00455,3
DB00564,DB00568,3
DB00564,DB00641,3
DB00564,DB00514,3
DB01045,DB01184,3
DB01045,DB01183,3
DB00564,DB01103,3
DB00564,DB01595,3
DB00238,DB00502,3
DB00312,DB00344,3
DB00564,DB00519,3
DB01201,DB01100,3
DB01201,DB01105,3
DB00312,DB11575,3
DB01320,DB01384,3
DB00252,DB06155,3
DB01201,DB09296,3
DB00615,DB00734,3
DB01320,DB08918,3
DB00238,DB00185,3
DB00615,DB00531,3
DB00312,DB00238,3
DB00312,DB00980,3
DB00564,DB00420,3
DB00312,DB00231,3
DB00564,DB00426,3
DB00312,DB00234,3
DB00312,DB00987,3
DB00599,DB08992,3
DB01201,DB00180,3
DB00564,DB03756,3
DB01201,DB00184,3
DB01201,DB00185,3
DB01201,DB00749,3
DB01201,DB00346,3
DB01201,DB01218,3
DB00564,DB00356,3
DB01201,DB00343,3
DB01201,DB01215,3
DB00564,DB00359,3
DB01201,DB01216,3
DB00252,DB00700,3
DB01201,DB00349,3
DB00238,DB01105,3
DB00238,DB00451,3
DB00252,DB00371,3
DB00238,DB00455,3
DB00238,DB00454,3
DB00238,DB00458,3
DB00252,DB01435,3
DB01201,DB00377,3
DB00615,DB01002,3
DB00252,DB00647,3
DB01201,DB01274,3
DB00312,DB00475,3
DB00238,DB00647,3
DB09280,DB00270,3
DB00238,DB00531,3
DB00564,DB01179,3
DB09280,DB00278,3
DB00615,DB01138,3
DB09280,DB00475,3
DB01320,DB01103,3
DB00615,DB01131,3
DB00615,DB01132,3
DB01320,DB01100,3
DB01320,DB01105,3
DB00252,DB00655,3
DB00252,DB06292,3
DB00615,DB00628,3
DB00252,DB06777,3
DB00252,DB06770,3
DB00252,DB06772,3
DB01045,DB00321,3
DB01045,DB00327,3
DB01045,DB00328,3
DB00165,DB00252,3
DB00238,DB00448,3
DB01201,DB00768,3
DB01201,DB09166,3
DB00564,DB01006,3
DB00615,DB00661,3
DB00564,DB01002,3
DB09280,DB01192,3
DB09280,DB01190,3
DB00238,DB00620,3
DB01201,DB00169,3
DB01320,DB00748,3
DB01320,DB00749,3
DB00599,DB01142,3
DB01320,DB00744,3
DB01320,DB00745,3
DB00238,DB00628,3
DB00252,DB00433,3
DB00252,DB08798,3
DB00615,DB01227,3
DB01201,DB04898,3
DB01045,DB00744,3
DB09280,DB00584,3
DB09280,DB00589,3
DB09280,DB00588,3
DB00252,DB08931,3
DB00252,DB00346,3
DB01045,DB00921,3
DB01045,DB00250,3
DB01045,DB00924,3
DB01045,DB00925,3
DB00238,DB01466,3
DB00312,DB08881,3
DB00238,DB00997,3
DB09280,DB01227,3
DB00312,DB06595,3
DB09280,DB01223,3
DB00451,DB00277,3
DB01045,DB08798,3
DB01201,DB06710,3
DB01201,DB01595,3
DB00312,DB01248,3
DB00615,DB01045,3
DB01045,DB00636,3
DB01045,DB00637,3
DB00252,DB00502,3
DB00312,DB01244,3
DB01320,DB00250,3
DB01320,DB00252,3
DB00252,DB01105,3
DB00252,DB01103,3
DB00252,DB01100,3
DB01045,DB00814,3
DB01045,DB00812,3
DB00238,DB00278,3
DB01201,DB00571,3
DB01201,DB00570,3
DB01201,DB00575,3
DB01351,DB01427,3
DB01045,DB01256,3
DB00615,DB00402,3
DB01320,DB00412,3
DB00615,DB00404,3
DB01201,DB08827,3
DB00252,DB01216,3
DB00238,DB00842,3
DB01201,DB00883,3
DB01320,DB06710,3
DB00615,DB00883,3
DB01351,DB09288,3
DB01201,DB00889,3
DB00564,DB01227,3
DB00615,DB01159,3
DB00312,DB01118,3
DB00312,DB01114,3
DB00312,DB01115,3
DB00564,DB08827,3
DB01201,DB00404,3
DB01201,DB00402,3
DB00312,DB01261,3
DB00615,DB01156,3
DB01201,DB00977,3
DB01201,DB00976,3
DB01201,DB00972,3
DB00252,DB11921,3
DB00615,DB00320,3
DB00615,DB06292,3
DB01320,DB06155,3
DB09280,DB00872,3
DB09280,DB00877,3
DB01045,DB01177,3
DB00252,DB00497,3
DB00564,DB06777,3
DB01045,DB01175,3
DB00599,DB00540,3
DB00599,DB00543,3
DB00252,DB00584,3
DB00252,DB01156,3
DB00615,DB08827,3
DB00238,DB00617,3
DB00564,DB06770,3
DB00252,DB00589,3
DB00238,DB00339,3
DB00252,DB01621,3
DB00252,DB00588,3
DB01045,DB01409,3
DB01320,DB00731,3
DB01201,DB01020,3
DB00564,DB00744,3
DB00312,DB00731,3
DB01201,DB01029,3
DB09280,DB00907,3
DB09280,DB00906,3
DB01351,DB00568,3
DB00252,DB06016,3
DB00607,DB01115,3
DB09280,DB00909,3
DB00615,DB00482,3
DB01320,DB00988,3
DB00252,DB00499,3
DB00564,DB06595,3
DB00564,DB00988,3
DB01201,DB11915,3
DB00564,DB00987,3
DB00312,DB00420,3
DB00564,DB00637,3
DB00564,DB00636,3
DB00564,DB00983,3
DB00312,DB06697,3
DB00564,DB01589,3
DB00564,DB00295,3
DB00312,DB00884,3
DB01201,DB01118,3
DB00564,DB00296,3
DB00312,DB00889,3
DB01201,DB01114,3
DB01201,DB01115,3
DB01045,DB01198,3
DB00564,DB01587,3
DB01201,DB01110,3
DB01045,DB01351,3
DB09280,DB11737,3
DB00238,DB00655,3
DB09280,DB00612,3
DB00312,DB01409,3
DB01201,DB08868,3
DB09280,DB00615,3
DB00238,DB00199,3
DB00564,DB00185,3
DB00564,DB00184,3
DB00564,DB00180,3
DB00312,DB04841,3
DB00238,DB00889,3
DB00615,DB08910,3
DB01201,DB00370,3
DB00564,DB00169,3
DB00615,DB00227,3
DB01201,DB00379,3
DB01201,DB01200,3
DB00238,DB00444,3
DB00238,DB00768,3
DB00564,DB01348,3
DB01220,DB00312,3
DB00564,DB01340,3
DB00564,DB04846,3
DB09280,DB04572,3
DB09280,DB01054,3
DB00238,DB06595,3
DB00312,DB12267,3
DB09280,DB00268,3
DB01320,DB01283,3
DB00252,DB05351,3
DB00564,DB06228,3
DB00615,DB01105,3
DB00615,DB01100,3
DB01201,DB05351,3
DB00564,DB09570,3
DB00615,DB01551,3
DB00252,DB06742,3
DB00599,DB09167,3
DB01045,DB00481,3
DB01320,DB08439,3
DB01045,DB00482,3
DB00615,DB00678,3
DB01201,DB00796,3
DB01201,DB00799,3
DB00312,DB00745,3
DB00238,DB00612,3
DB01320,DB00889,3
DB01201,DB00153,3
DB01201,DB13179,3
DB00252,DB00426,3
DB01320,DB00736,3
DB01320,DB00883,3
DB01320,DB00734,3
DB01220,DB01351,3
DB09280,DB00593,3
DB00615,DB01215,3
DB01045,DB11817,3
DB00615,DB01218,3
DB01045,DB00268,3
DB00607,DB00255,3
DB00252,DB00356,3
DB00252,DB00359,3
DB01045,DB00263,3
DB01045,DB00264,3
DB01045,DB00799,3
DB00312,DB01587,3
DB00312,DB08893,3
DB00312,DB01589,3
DB01045,DB00796,3
DB00615,DB01409,3
DB00615,DB01074,3
DB01320,DB00647,3
DB00312,DB01274,3
DB00252,DB00514,3
DB00615,DB00277,3
DB00615,DB00270,3
DB01045,DB00318,3
DB01045,DB00643,3
DB01045,DB00641,3
DB01045,DB00647,3
DB00238,DB01118,3
DB00615,DB01076,3
DB00252,DB01177,3
DB00252,DB01175,3
DB00474,DB01427,3
DB00312,DB01054,3
DB00252,DB01179,3
DB00615,DB00091,3
DB01201,DB00568,3
DB01045,DB00862,3
DB00252,DB00495,3
DB01045,DB00865,3
DB01045,DB00869,3
DB01201,DB00564,3
DB01351,DB01418,3
DB01201,DB00567,3
DB00615,DB12332,3
DB01351,DB09167,3
DB01320,DB00390,3
DB01320,DB00396,3
DB01320,DB00469,3
DB00615,DB08893,3
DB00238,DB00877,3
DB00238,DB00683,3
DB01320,DB06700,3
DB00238,DB00426,3
DB01201,DB00898,3
DB00252,DB01006,3
DB00252,DB00458,3
DB00615,DB00898,3
DB00252,DB01002,3
DB09280,DB12161,3
DB00607,DB01074,3
DB00238,DB01587,3
DB00564,DB06292,3
DB00312,DB01126,3
DB00312,DB01384,3
DB00564,DB11921,3
DB01201,DB00412,3
DB00252,DB01409,3
DB00615,DB00309,3
DB00564,DB09297,3
DB01320,DB00264,3
DB00615,DB00307,3
DB01201,DB00969,3
DB01320,DB00263,3
DB00312,DB06739,3
DB01320,DB00307,3
DB09280,DB00862,3
DB00564,DB08439,3
DB01320,DB06144,3
DB01320,DB06145,3
DB01045,DB08906,3
DB00312,DB05351,3
DB00312,DB06738,3
DB00564,DB01240,3
